datetime,open,high,low,close,volume
2026-01-20T13:27:00,25262.0,25263.0,25254.5,25260.5,696
2026-01-20T13:28:00,25260.5,25261.75,25256.5,25260.0,382
2026-01-20T13:29:00,25261.0,25262.75,25244.0,25247.0,1266
2026-01-20T13:30:00,25247.75,25251.5,25240.25,25241.5,1223
2026-01-20T13:31:00,25242.0,25243.0,25231.25,25234.25,1638
2026-01-20T13:32:00,25234.5,25235.0,25225.0,25229.5,1270
2026-01-20T13:33:00,25229.5,25245.25,25193.0,25199.0,8425
2026-01-20T13:34:00,25199.75,25225.75,25182.0,25215.25,6539
2026-01-20T13:35:00,25216.25,25220.75,25186.75,25203.5,4274
2026-01-20T13:36:00,25203.0,25224.5,25194.5,25197.5,3843
2026-01-20T13:37:00,25197.0,25201.5,25188.25,25197.25,3328
2026-01-20T13:38:00,25197.25,25207.25,25181.5,25202.0,3567
2026-01-20T13:39:00,25202.25,25216.0,25193.75,25211.25,2736
2026-01-20T13:40:00,25211.75,25218.5,25204.5,25206.75,2174
2026-01-20T13:41:00,25207.25,25216.5,25202.0,25212.75,1970
2026-01-20T13:42:00,25213.25,25221.25,25208.25,25215.0,2194
2026-01-20T13:43:00,25215.75,25221.0,25207.75,25216.25,1457
2026-01-20T13:44:00,25216.25,25226.0,25211.5,25213.0,1887
2026-01-20T13:45:00,25213.25,25221.5,25204.0,25221.0,2200
2026-01-20T13:46:00,25221.0,25222.75,25205.5,25214.0,2079
2026-01-20T13:47:00,25214.75,25229.75,25213.75,25220.25,2522
2026-01-20T13:48:00,25219.25,25229.75,25217.0,25227.5,1361
2026-01-20T13:49:00,25228.0,25235.0,25227.25,25234.75,1538
2026-01-20T13:50:00,25234.5,25236.25,25209.0,25213.25,2216
2026-01-20T13:51:00,25212.75,25221.25,25211.5,25216.75,1107
2026-01-20T13:52:00,25216.5,25222.0,25215.75,25216.5,982
2026-01-20T13:53:00,25216.5,25222.0,25213.0,25217.0,769
