Timestamp,Price,Volume,DataType,Correction,MarketState
20260526 12:00:05.360,4505.0,2,B,R,N
20260526 12:00:05.360,4505.2,3,A,R,N
20260526 12:00:05.392,4505.0,1,B,R,N
20260526 12:00:05.400,4505.1,1,A,R,N
20260526 12:00:05.400,4504.9,2,B,R,N
20260526 12:00:05.404,4505.1,2,A,R,N
20260526 12:00:05.404,4505.1,1,A,R,N
20260526 12:00:05.404,4505.0,1,B,R,N
20260526 12:00:05.404,4505.2,2,A,R,N
20260526 12:00:05.412,4504.9,4,B,R,N
20260526 12:00:05.412,4505.0,1,B,R,N
20260526 12:00:05.416,4505.1,1,A,R,N
20260526 12:00:05.416,4504.9,4,B,R,N
20260526 12:00:05.420,4505.1,2,A,R,N
20260526 12:00:05.424,4505.1,1,A,R,N
20260526 12:00:05.464,4505.0,1,B,R,N
20260526 12:00:05.464,4505.2,2,A,R,N
20260526 12:00:05.476,4504.9,4,B,R,N
20260526 12:00:05.476,4505.0,1,B,R,N
20260526 12:00:05.728,4505.2,3,A,R,N
20260526 12:00:05.728,4504.9,4,B,R,N
20260526 12:00:06.220,4505.1,1,A,R,N
20260526 12:00:06.440,4504.9,3,B,R,N
20260526 12:00:06.440,4505.1,2,A,R,N
20260526 12:00:06.576,4505.1,1,A,R,N
20260526 12:00:06.764,4505.1,2,A,R,N
20260526 12:00:06.764,4504.9,2,B,R,N
20260526 12:00:06.764,4504.9,1,B,R,N
20260526 12:00:06.764,4504.8,4,B,R,N
20260526 12:00:06.764,4504.9,1,B,R,N
20260526 12:00:06.764,4504.9,2,B,R,N
20260526 12:00:07.472,4504.9,1,B,R,N
20260526 12:00:07.472,4504.8,4,B,R,N
20260526 12:00:07.472,4505.0,1,A,R,N
20260526 12:00:07.472,4505.0,2,A,R,N
20260526 12:00:07.472,4504.9,1,B,R,N
20260526 12:00:07.472,4505.0,1,A,R,N
20260526 12:00:07.472,4505.1,2,A,R,N
20260526 12:00:07.480,4504.9,2,B,R,N
20260526 12:00:07.720,4505.0,1,A,R,N
20260526 12:00:07.720,4504.9,1,B,R,N
20260526 12:00:07.720,4504.9,1,T,R,N
20260526 12:00:07.720,4504.8,4,B,R,N
